"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Feb 04 09:55:18 GMT 2022","Fri Feb 04 09:55:27 GMT 2022","8857","","Test for basic item purchase process","","Test for basic item purchase process","""before all"" hook","""before all"" hook",""
"passed","Fri Feb 04 09:56:18 GMT 2022","Fri Feb 04 09:56:26 GMT 2022","7517","","Test for basic item purchase process","","Test for basic item purchase process","proceeds to 'Shipping' page and checks page headline","proceeds to 'Shipping' page and checks page headline",""
"passed","Fri Feb 04 09:53:51 GMT 2022","Fri Feb 04 09:54:01 GMT 2022","9976","","Test for registration process","","Test for registration process","""before all"" hook","""before all"" hook",""
"passed","Fri Feb 04 09:54:04 GMT 2022","Fri Feb 04 09:54:10 GMT 2022","5723","","Test for login process: unsuccessful login - no data","","Test for login process: unsuccessful login - no data","doesn't add any data and validates that the login was unsuccessful","doesn't add any data and validates that the login was unsuccessful",""
"passed","Fri Feb 04 09:54:01 GMT 2022","Fri Feb 04 09:54:11 GMT 2022","10480","","Test for registration process: successful registration","","Test for registration process: successful registration","navigates to 'Sign in'page and checks if it opens","navigates to 'Sign in'page and checks if it opens",""
"passed","Fri Feb 04 09:55:25 GMT 2022","Fri Feb 04 09:55:37 GMT 2022","12295","","Test for basic item purchase process","","Test for basic item purchase process","""before all"" hook","""before all"" hook",""
"passed","Fri Feb 04 09:53:45 GMT 2022","Fri Feb 04 09:53:53 GMT 2022","7759","","Test for login process","","Test for login process","""before all"" hook","""before all"" hook",""
"failed","Fri Feb 04 09:55:56 GMT 2022","Fri Feb 04 09:56:11 GMT 2022","15358","","Test for basic item purchase process","","Test for basic item purchase process","Logs in with credentials and proceeds to 'Addresses' page","Logs in with credentials and proceeds to 'Addresses' page",""
"passed","Fri Feb 04 09:55:37 GMT 2022","Fri Feb 04 09:55:47 GMT 2022","9927","","Test for basic item purchase process","","Test for basic item purchase process","proceeds to 'Cart summary' page and validates the chosen item in cart","proceeds to 'Cart summary' page and validates the chosen item in cart",""
"passed","Fri Feb 04 09:54:28 GMT 2022","Fri Feb 04 09:54:35 GMT 2022","6705","","Test for registration process","","Test for registration process","""before all"" hook","""before all"" hook",""
"passed","Fri Feb 04 09:55:47 GMT 2022","Fri Feb 04 09:56:18 GMT 2022","31544","","Test for basic item purchase process","","Test for basic item purchase process","Logs in with credentials and proceeds to 'Addresses' page","Logs in with credentials and proceeds to 'Addresses' page",""
