"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Feb 04 09:55:16 GMT 2022","Fri Feb 04 09:55:22 GMT 2022","5467","","Test for login process: unsuccessful login - incorrect password","","Test for login process: unsuccessful login - incorrect password","adds incorrect data (password) and validates that the login was unsuccessful","adds incorrect data (password) and validates that the login was unsuccessful",""
"passed","Fri Feb 04 09:54:20 GMT 2022","Fri Feb 04 09:54:26 GMT 2022","6287","","Test for registration process: successful registration","","Test for registration process: successful registration","adds correct registration data and validates that the registration was successful","adds correct registration data and validates that the registration was successful",""
"passed","Fri Feb 04 09:54:35 GMT 2022","Fri Feb 04 09:54:46 GMT 2022","10320","","Test for registration process: successful registration","","Test for registration process: successful registration","navigates to 'Sign in'page and checks if it opens","navigates to 'Sign in'page and checks if it opens",""
"passed","Fri Feb 04 09:54:10 GMT 2022","Fri Feb 04 09:54:19 GMT 2022","8733","","Test for login process: unsuccessful login - incorrect email address","","Test for login process: unsuccessful login - incorrect email address","adds incorrect data (email) and validates that the login was unsuccessful","adds incorrect data (email) and validates that the login was unsuccessful",""
"passed","Fri Feb 04 09:55:46 GMT 2022","Fri Feb 04 09:55:56 GMT 2022","10340","","Test for basic item purchase process","","Test for basic item purchase process","proceeds to 'Cart summary' page and validates the chosen item in cart","proceeds to 'Cart summary' page and validates the chosen item in cart",""
"passed","Fri Feb 04 09:54:23 GMT 2022","Fri Feb 04 09:54:33 GMT 2022","10895","","Test for login process: successful login","","Test for login process: successful login","logs in with correct data and validates that the process was successful","logs in with correct data and validates that the process was successful",""
"passed","Fri Feb 04 09:54:58 GMT 2022","Fri Feb 04 09:55:08 GMT 2022","10287","","Test for login process: unsuccessful login - no data","","Test for login process: unsuccessful login - no data","doesn't add any data and validates that the login was unsuccessful","doesn't add any data and validates that the login was unsuccessful",""
"passed","Fri Feb 04 09:54:19 GMT 2022","Fri Feb 04 09:54:23 GMT 2022","3981","","Test for login process: unsuccessful login - incorrect password","","Test for login process: unsuccessful login - incorrect password","adds incorrect data (password) and validates that the login was unsuccessful","adds incorrect data (password) and validates that the login was unsuccessful",""
"passed","Fri Feb 04 09:56:26 GMT 2022","Fri Feb 04 09:56:35 GMT 2022","8718","","Test for basic item purchase process","","Test for basic item purchase process","proceeds to payment, chooses payment method and proceeds to 'Order summary' page","proceeds to payment, chooses payment method and proceeds to 'Order summary' page",""
"passed","Fri Feb 04 09:54:11 GMT 2022","Fri Feb 04 09:54:20 GMT 2022","8416","","Test for registration process: successful registration","","Test for registration process: successful registration","creates account and check if it proceeds to registration form","creates account and check if it proceeds to registration form",""
"passed","Fri Feb 04 09:54:54 GMT 2022","Fri Feb 04 09:55:15 GMT 2022","20795","","Test for registration process: successful registration","","Test for registration process: successful registration","adds correct registration data and validates that the registration was successful","adds correct registration data and validates that the registration was successful",""
"passed","Fri Feb 04 09:55:27 GMT 2022","Fri Feb 04 09:55:37 GMT 2022","9675","","Test for basic item purchase process","","Test for basic item purchase process","adds an item to the cart and checks if it was successful","adds an item to the cart and checks if it was successful",""
"passed","Fri Feb 04 09:55:08 GMT 2022","Fri Feb 04 09:55:16 GMT 2022","7957","","Test for login process: unsuccessful login - incorrect email address","","Test for login process: unsuccessful login - incorrect email address","adds incorrect data (email) and validates that the login was unsuccessful","adds incorrect data (email) and validates that the login was unsuccessful",""
"passed","Fri Feb 04 09:53:53 GMT 2022","Fri Feb 04 09:54:04 GMT 2022","11515","","Test for login process: unsuccessful login - no data","","Test for login process: unsuccessful login - no data","navigates to 'Sign in'page and checks if it opens","navigates to 'Sign in'page and checks if it opens",""
"passed","Fri Feb 04 09:56:35 GMT 2022","Fri Feb 04 09:56:51 GMT 2022","16101","","Test for basic item purchase process","","Test for basic item purchase process","confirms order and checks 'Confirmation' page headline","confirms order and checks 'Confirmation' page headline",""
"passed","Fri Feb 04 09:54:47 GMT 2022","Fri Feb 04 09:54:58 GMT 2022","11443","","Test for login process: unsuccessful login - no data","","Test for login process: unsuccessful login - no data","navigates to 'Sign in'page and checks if it opens","navigates to 'Sign in'page and checks if it opens",""
"passed","Fri Feb 04 09:55:37 GMT 2022","Fri Feb 04 09:55:46 GMT 2022","8176","","Test for basic item purchase process","","Test for basic item purchase process","adds an item to the cart and checks if it was successful","adds an item to the cart and checks if it was successful",""
"passed","Fri Feb 04 09:54:46 GMT 2022","Fri Feb 04 09:54:54 GMT 2022","8891","","Test for registration process: successful registration","","Test for registration process: successful registration","creates account and check if it proceeds to registration form","creates account and check if it proceeds to registration form",""
"passed","Fri Feb 04 09:55:22 GMT 2022","Fri Feb 04 09:55:22 GMT 2022","360","","Test for login process: successful login","","Test for login process: successful login","logs in with correct data and validates that the process was successful","logs in with correct data and validates that the process was successful",""
"passed","Fri Feb 04 09:54:40 GMT 2022","Fri Feb 04 09:54:47 GMT 2022","6412","","Test for login process","","Test for login process","""before all"" hook","""before all"" hook",""
