"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Jan 11 15:33:51 GMT 2022","Tue Jan 11 15:33:55 GMT 2022","3861","","Test for basic item purchase process","","Test for basic item purchase process","""before all"" hook","""before all"" hook",""
"passed","Tue Jan 11 15:33:55 GMT 2022","Tue Jan 11 15:33:57 GMT 2022","1966","","Test for basic item purchase process","","Test for basic item purchase process","adds an item to the cart and checks if it was successful","adds an item to the cart and checks if it was successful",""
"passed","Tue Jan 11 15:34:23 GMT 2022","Tue Jan 11 15:34:24 GMT 2022","1267","","Test for login process: unsuccessful login - incorrect password","","Test for login process: unsuccessful login - incorrect password","adds incorrect data (password) and validates that the login was unsuccessful","adds incorrect data (password) and validates that the login was unsuccessful",""
"passed","Tue Jan 11 15:33:51 GMT 2022","Tue Jan 11 15:33:55 GMT 2022","3856","","Test for registration process","","Test for registration process","""before all"" hook","""before all"" hook",""
"passed","Tue Jan 11 15:33:57 GMT 2022","Tue Jan 11 15:34:00 GMT 2022","2918","","Test for registration process: successful registration","","Test for registration process: successful registration","creates account and check if it proceeds to registration form","creates account and check if it proceeds to registration form",""
"passed","Tue Jan 11 15:33:55 GMT 2022","Tue Jan 11 15:33:57 GMT 2022","2278","","Test for registration process: successful registration","","Test for registration process: successful registration","navigates to 'Sign in'page and checks if it opens","navigates to 'Sign in'page and checks if it opens",""
"passed","Tue Jan 11 15:34:49 GMT 2022","Tue Jan 11 15:34:50 GMT 2022","1341","","Test for login process: unsuccessful login - no data","","Test for login process: unsuccessful login - no data","navigates to 'Sign in'page and checks if it opens","navigates to 'Sign in'page and checks if it opens",""
"passed","Tue Jan 11 15:34:40 GMT 2022","Tue Jan 11 15:34:42 GMT 2022","2480","","Test for registration process: successful registration","","Test for registration process: successful registration","adds correct registration data and validates that the registration was successful","adds correct registration data and validates that the registration was successful",""
"passed","Tue Jan 11 15:34:28 GMT 2022","Tue Jan 11 15:34:31 GMT 2022","3669","","Test for basic item purchase process","","Test for basic item purchase process","Logs in with credentials and proceeds to 'Addresses' page","Logs in with credentials and proceeds to 'Addresses' page",""
"passed","Tue Jan 11 15:34:51 GMT 2022","Tue Jan 11 15:34:52 GMT 2022","1015","","Test for login process: unsuccessful login - incorrect email address","","Test for login process: unsuccessful login - incorrect email address","adds incorrect data (email) and validates that the login was unsuccessful","adds incorrect data (email) and validates that the login was unsuccessful",""
"passed","Tue Jan 11 15:34:31 GMT 2022","Tue Jan 11 15:34:33 GMT 2022","1212","","Test for basic item purchase process","","Test for basic item purchase process","proceeds to 'Shipping' page and checks page headline","proceeds to 'Shipping' page and checks page headline",""
"passed","Tue Jan 11 15:34:00 GMT 2022","Tue Jan 11 15:34:05 GMT 2022","4607","","Test for registration process: successful registration","","Test for registration process: successful registration","adds correct registration data and validates that the registration was successful","adds correct registration data and validates that the registration was successful",""
"passed","Tue Jan 11 15:34:33 GMT 2022","Tue Jan 11 15:34:36 GMT 2022","3108","","Test for registration process","","Test for registration process","""before all"" hook","""before all"" hook",""
"passed","Tue Jan 11 15:34:20 GMT 2022","Tue Jan 11 15:34:21 GMT 2022","910","","Test for login process: unsuccessful login - no data","","Test for login process: unsuccessful login - no data","doesn't add any data and validates that the login was unsuccessful","doesn't add any data and validates that the login was unsuccessful",""
"passed","Tue Jan 11 15:34:20 GMT 2022","Tue Jan 11 15:34:24 GMT 2022","4077","","Test for basic item purchase process","","Test for basic item purchase process","""before all"" hook","""before all"" hook",""
"passed","Tue Jan 11 15:34:33 GMT 2022","Tue Jan 11 15:34:35 GMT 2022","2975","","Test for basic item purchase process","","Test for basic item purchase process","proceeds to payment, chooses payment method and proceeds to 'Order summary' page","proceeds to payment, chooses payment method and proceeds to 'Order summary' page",""
"passed","Tue Jan 11 15:34:26 GMT 2022","Tue Jan 11 15:34:28 GMT 2022","1527","","Test for basic item purchase process","","Test for basic item purchase process","proceeds to 'Cart summary' page and validates the chosen item in cart","proceeds to 'Cart summary' page and validates the chosen item in cart",""
"passed","Tue Jan 11 15:33:58 GMT 2022","Tue Jan 11 15:34:04 GMT 2022","5519","","Test for basic item purchase process","","Test for basic item purchase process","Logs in with credentials and proceeds to 'Addresses' page","Logs in with credentials and proceeds to 'Addresses' page",""
"passed","Tue Jan 11 15:34:52 GMT 2022","Tue Jan 11 15:34:53 GMT 2022","1049","","Test for login process: unsuccessful login - incorrect password","","Test for login process: unsuccessful login - incorrect password","adds incorrect data (password) and validates that the login was unsuccessful","adds incorrect data (password) and validates that the login was unsuccessful",""
"passed","Tue Jan 11 15:34:47 GMT 2022","Tue Jan 11 15:34:49 GMT 2022","2191","","Test for login process","","Test for login process","""before all"" hook","""before all"" hook",""
"passed","Tue Jan 11 15:33:57 GMT 2022","Tue Jan 11 15:33:58 GMT 2022","1651","","Test for basic item purchase process","","Test for basic item purchase process","proceeds to 'Cart summary' page and validates the chosen item in cart","proceeds to 'Cart summary' page and validates the chosen item in cart",""
"passed","Tue Jan 11 15:34:53 GMT 2022","Tue Jan 11 15:34:55 GMT 2022","1914","","Test for login process: successful login","","Test for login process: successful login","logs in with correct data and validates that the process was successful","logs in with correct data and validates that the process was successful",""
"passed","Tue Jan 11 15:34:37 GMT 2022","Tue Jan 11 15:34:40 GMT 2022","2518","","Test for registration process: successful registration","","Test for registration process: successful registration","creates account and check if it proceeds to registration form","creates account and check if it proceeds to registration form",""
"passed","Tue Jan 11 15:34:21 GMT 2022","Tue Jan 11 15:34:23 GMT 2022","1931","","Test for login process: unsuccessful login - incorrect email address","","Test for login process: unsuccessful login - incorrect email address","adds incorrect data (email) and validates that the login was unsuccessful","adds incorrect data (email) and validates that the login was unsuccessful",""
