"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Jan 11 15:34:18 GMT 2022","Tue Jan 11 15:34:20 GMT 2022","2282","","Test for login process: unsuccessful login - no data","","Test for login process: unsuccessful login - no data","navigates to 'Sign in'page and checks if it opens","navigates to 'Sign in'page and checks if it opens",""
"passed","Tue Jan 11 15:34:24 GMT 2022","Tue Jan 11 15:34:27 GMT 2022","2799","","Test for login process: successful login","","Test for login process: successful login","logs in with correct data and validates that the process was successful","logs in with correct data and validates that the process was successful",""
"passed","Tue Jan 11 15:34:15 GMT 2022","Tue Jan 11 15:34:18 GMT 2022","2928","","Test for login process","","Test for login process","""before all"" hook","""before all"" hook",""
"passed","Tue Jan 11 15:34:04 GMT 2022","Tue Jan 11 15:34:05 GMT 2022","1454","","Test for basic item purchase process","","Test for basic item purchase process","proceeds to 'Shipping' page and checks page headline","proceeds to 'Shipping' page and checks page headline",""
"passed","Tue Jan 11 15:34:50 GMT 2022","Tue Jan 11 15:34:51 GMT 2022","800","","Test for login process: unsuccessful login - no data","","Test for login process: unsuccessful login - no data","doesn't add any data and validates that the login was unsuccessful","doesn't add any data and validates that the login was unsuccessful",""
"passed","Tue Jan 11 15:34:36 GMT 2022","Tue Jan 11 15:34:37 GMT 2022","1743","","Test for registration process: successful registration","","Test for registration process: successful registration","navigates to 'Sign in'page and checks if it opens","navigates to 'Sign in'page and checks if it opens",""
"passed","Tue Jan 11 15:34:24 GMT 2022","Tue Jan 11 15:34:26 GMT 2022","1915","","Test for basic item purchase process","","Test for basic item purchase process","adds an item to the cart and checks if it was successful","adds an item to the cart and checks if it was successful",""
"passed","Tue Jan 11 15:34:08 GMT 2022","Tue Jan 11 15:34:11 GMT 2022","2650","","Test for basic item purchase process","","Test for basic item purchase process","confirms order and checks 'Confirmation' page headline","confirms order and checks 'Confirmation' page headline",""
"passed","Tue Jan 11 15:34:05 GMT 2022","Tue Jan 11 15:34:08 GMT 2022","2874","","Test for basic item purchase process","","Test for basic item purchase process","proceeds to payment, chooses payment method and proceeds to 'Order summary' page","proceeds to payment, chooses payment method and proceeds to 'Order summary' page",""
"passed","Tue Jan 11 15:34:35 GMT 2022","Tue Jan 11 15:34:39 GMT 2022","3142","","Test for basic item purchase process","","Test for basic item purchase process","confirms order and checks 'Confirmation' page headline","confirms order and checks 'Confirmation' page headline",""
