"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jan 17 07:09:59 GMT 2022","Mon Jan 17 07:10:06 GMT 2022","7098","","Test for login process: successful login","","Test for login process: successful login","logs in with correct data and validates that the process was successful","logs in with correct data and validates that the process was successful",""
"passed","Mon Jan 17 07:10:32 GMT 2022","Mon Jan 17 07:10:36 GMT 2022","3629","","Test for basic item purchase process","","Test for basic item purchase process","proceeds to payment, chooses payment method and proceeds to 'Order summary' page","proceeds to payment, chooses payment method and proceeds to 'Order summary' page",""
"passed","Mon Jan 17 07:09:13 GMT 2022","Mon Jan 17 07:09:16 GMT 2022","2608","","Test for registration process","","Test for registration process","""before all"" hook","""before all"" hook",""
"passed","Mon Jan 17 07:10:18 GMT 2022","Mon Jan 17 07:10:20 GMT 2022","1721","","Test for login process: unsuccessful login - incorrect email address","","Test for login process: unsuccessful login - incorrect email address","adds incorrect data (email) and validates that the login was unsuccessful","adds incorrect data (email) and validates that the login was unsuccessful",""
"passed","Mon Jan 17 07:09:33 GMT 2022","Mon Jan 17 07:09:43 GMT 2022","10070","","Test for login process: unsuccessful login - no data","","Test for login process: unsuccessful login - no data","navigates to 'Sign in'page and checks if it opens","navigates to 'Sign in'page and checks if it opens",""
"passed","Mon Jan 17 07:10:36 GMT 2022","Mon Jan 17 07:10:41 GMT 2022","5338","","Test for basic item purchase process","","Test for basic item purchase process","confirms order and checks 'Confirmation' page headline","confirms order and checks 'Confirmation' page headline",""
"passed","Mon Jan 17 07:10:22 GMT 2022","Mon Jan 17 07:10:25 GMT 2022","3003","","Test for login process: successful login","","Test for login process: successful login","logs in with correct data and validates that the process was successful","logs in with correct data and validates that the process was successful",""
"passed","Mon Jan 17 07:09:16 GMT 2022","Mon Jan 17 07:09:19 GMT 2022","3062","","Test for registration process","","Test for registration process","""before all"" hook","""before all"" hook",""
"passed","Mon Jan 17 07:09:23 GMT 2022","Mon Jan 17 07:09:27 GMT 2022","3804","","Test for registration process: successful registration","","Test for registration process: successful registration","adds correct registration data and validates that the registration was successful","adds correct registration data and validates that the registration was successful",""
"passed","Mon Jan 17 07:09:18 GMT 2022","Mon Jan 17 07:09:20 GMT 2022","2401","","Test for registration process: successful registration","","Test for registration process: successful registration","creates account and check if it proceeds to registration form","creates account and check if it proceeds to registration form",""
"passed","Mon Jan 17 07:09:28 GMT 2022","Mon Jan 17 07:09:33 GMT 2022","4691","","Test for basic item purchase process","","Test for basic item purchase process","""before all"" hook","""before all"" hook",""
