"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Jan 09 18:32:52 GMT 2022","Sun Jan 09 18:32:56 GMT 2022","4331","","Test for basic item purchase process","","Test for basic item purchase process","""before all"" hook","""before all"" hook",""
"passed","Sun Jan 09 18:32:59 GMT 2022","Sun Jan 09 18:33:02 GMT 2022","2610","","Test for registration process: successful registration","","Test for registration process: successful registration","adds correct registration data and validates that the registration was successful","adds correct registration data and validates that the registration was successful",""
"passed","Sun Jan 09 18:32:30 GMT 2022","Sun Jan 09 18:32:35 GMT 2022","4458","","Test for login process","","Test for login process","""before all"" hook","""before all"" hook",""
"passed","Sun Jan 09 18:32:19 GMT 2022","Sun Jan 09 18:32:23 GMT 2022","3449","","Test for registration process: successful registration","","Test for registration process: successful registration","adds correct registration data and validates that the registration was successful","adds correct registration data and validates that the registration was successful",""
"passed","Sun Jan 09 18:32:37 GMT 2022","Sun Jan 09 18:32:39 GMT 2022","1252","","Test for login process: unsuccessful login - incorrect email address","","Test for login process: unsuccessful login - incorrect email address","adds incorrect data (email) and validates that the login was unsuccessful","adds incorrect data (email) and validates that the login was unsuccessful",""
"passed","Sun Jan 09 18:32:55 GMT 2022","Sun Jan 09 18:32:57 GMT 2022","1822","","Test for registration process: successful registration","","Test for registration process: successful registration","navigates to 'Sign in'page and checks if it opens","navigates to 'Sign in'page and checks if it opens",""
"passed","Sun Jan 09 18:32:18 GMT 2022","Sun Jan 09 18:32:19 GMT 2022","1838","","Test for registration process: successful registration","","Test for registration process: successful registration","creates account and check if it proceeds to registration form","creates account and check if it proceeds to registration form",""
"passed","Sun Jan 09 18:33:03 GMT 2022","Sun Jan 09 18:33:06 GMT 2022","2427","","Test for basic item purchase process","","Test for basic item purchase process","proceeds to payment, chooses payment method and proceeds to 'Order summary' page","proceeds to payment, chooses payment method and proceeds to 'Order summary' page",""
"passed","Sun Jan 09 18:33:06 GMT 2022","Sun Jan 09 18:33:08 GMT 2022","2253","","Test for basic item purchase process","","Test for basic item purchase process","confirms order and checks 'Confirmation' page headline","confirms order and checks 'Confirmation' page headline",""
"passed","Sun Jan 09 18:32:37 GMT 2022","Sun Jan 09 18:32:38 GMT 2022","1678","","Test for login process: unsuccessful login - no data","","Test for login process: unsuccessful login - no data","navigates to 'Sign in'page and checks if it opens","navigates to 'Sign in'page and checks if it opens",""
"passed","Sun Jan 09 18:32:57 GMT 2022","Sun Jan 09 18:32:59 GMT 2022","2367","","Test for registration process: successful registration","","Test for registration process: successful registration","creates account and check if it proceeds to registration form","creates account and check if it proceeds to registration form",""
"passed","Sun Jan 09 18:32:40 GMT 2022","Sun Jan 09 18:32:42 GMT 2022","2316","","Test for login process: unsuccessful login - incorrect email address","","Test for login process: unsuccessful login - incorrect email address","adds incorrect data (email) and validates that the login was unsuccessful","adds incorrect data (email) and validates that the login was unsuccessful",""
"passed","Sun Jan 09 18:32:17 GMT 2022","Sun Jan 09 18:32:18 GMT 2022","1193","","Test for basic item purchase process","","Test for basic item purchase process","proceeds to 'Cart summary' page and validates the chosen item in cart","proceeds to 'Cart summary' page and validates the chosen item in cart",""
"passed","Sun Jan 09 18:32:16 GMT 2022","Sun Jan 09 18:32:18 GMT 2022","1572","","Test for registration process: successful registration","","Test for registration process: successful registration","navigates to 'Sign in'page and checks if it opens","navigates to 'Sign in'page and checks if it opens",""
"passed","Sun Jan 09 18:32:16 GMT 2022","Sun Jan 09 18:32:17 GMT 2022","1276","","Test for basic item purchase process","","Test for basic item purchase process","adds an item to the cart and checks if it was successful","adds an item to the cart and checks if it was successful",""
"passed","Sun Jan 09 18:32:23 GMT 2022","Sun Jan 09 18:32:26 GMT 2022","2530","","Test for basic item purchase process","","Test for basic item purchase process","proceeds to payment, chooses payment method and proceeds to 'Order summary' page","proceeds to payment, chooses payment method and proceeds to 'Order summary' page",""
"passed","Sun Jan 09 18:32:11 GMT 2022","Sun Jan 09 18:32:16 GMT 2022","4552","","Test for registration process","","Test for registration process","""before all"" hook","""before all"" hook",""
