"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Jan 09 18:32:18 GMT 2022","Sun Jan 09 18:32:22 GMT 2022","3577","","Test for basic item purchase process","","Test for basic item purchase process","Logs in with credentials and proceeds to 'Addresses' page","Logs in with credentials and proceeds to 'Addresses' page",""
"passed","Sun Jan 09 18:32:57 GMT 2022","Sun Jan 09 18:32:59 GMT 2022","1363","","Test for basic item purchase process","","Test for basic item purchase process","proceeds to 'Cart summary' page and validates the chosen item in cart","proceeds to 'Cart summary' page and validates the chosen item in cart",""
"passed","Sun Jan 09 18:32:26 GMT 2022","Sun Jan 09 18:32:30 GMT 2022","4229","","Test for basic item purchase process","","Test for basic item purchase process","confirms order and checks 'Confirmation' page headline","confirms order and checks 'Confirmation' page headline",""
"passed","Sun Jan 09 18:32:33 GMT 2022","Sun Jan 09 18:32:37 GMT 2022","3379","","Test for login process","","Test for login process","""before all"" hook","""before all"" hook",""
"passed","Sun Jan 09 18:32:43 GMT 2022","Sun Jan 09 18:32:45 GMT 2022","1827","","Test for login process: successful login","","Test for login process: successful login","logs in with correct data and validates that the process was successful","logs in with correct data and validates that the process was successful",""
"passed","Sun Jan 09 18:33:02 GMT 2022","Sun Jan 09 18:33:03 GMT 2022","973","","Test for basic item purchase process","","Test for basic item purchase process","proceeds to 'Shipping' page and checks page headline","proceeds to 'Shipping' page and checks page headline",""
"passed","Sun Jan 09 18:32:39 GMT 2022","Sun Jan 09 18:32:40 GMT 2022","1641","","Test for login process: unsuccessful login - incorrect password","","Test for login process: unsuccessful login - incorrect password","adds incorrect data (password) and validates that the login was unsuccessful","adds incorrect data (password) and validates that the login was unsuccessful",""
"passed","Sun Jan 09 18:32:51 GMT 2022","Sun Jan 09 18:32:55 GMT 2022","3914","","Test for registration process","","Test for registration process","""before all"" hook","""before all"" hook",""
"passed","Sun Jan 09 18:32:22 GMT 2022","Sun Jan 09 18:32:23 GMT 2022","1015","","Test for basic item purchase process","","Test for basic item purchase process","proceeds to 'Shipping' page and checks page headline","proceeds to 'Shipping' page and checks page headline",""
"passed","Sun Jan 09 18:32:42 GMT 2022","Sun Jan 09 18:32:43 GMT 2022","1180","","Test for login process: unsuccessful login - incorrect password","","Test for login process: unsuccessful login - incorrect password","adds incorrect data (password) and validates that the login was unsuccessful","adds incorrect data (password) and validates that the login was unsuccessful",""
"passed","Sun Jan 09 18:32:40 GMT 2022","Sun Jan 09 18:32:43 GMT 2022","2511","","Test for login process: successful login","","Test for login process: successful login","logs in with correct data and validates that the process was successful","logs in with correct data and validates that the process was successful",""
"passed","Sun Jan 09 18:32:37 GMT 2022","Sun Jan 09 18:32:37 GMT 2022","934","","Test for login process: unsuccessful login - no data","","Test for login process: unsuccessful login - no data","doesn't add any data and validates that the login was unsuccessful","doesn't add any data and validates that the login was unsuccessful",""
"passed","Sun Jan 09 18:32:56 GMT 2022","Sun Jan 09 18:32:57 GMT 2022","1526","","Test for basic item purchase process","","Test for basic item purchase process","adds an item to the cart and checks if it was successful","adds an item to the cart and checks if it was successful",""
"passed","Sun Jan 09 18:32:35 GMT 2022","Sun Jan 09 18:32:37 GMT 2022","1578","","Test for login process: unsuccessful login - no data","","Test for login process: unsuccessful login - no data","navigates to 'Sign in'page and checks if it opens","navigates to 'Sign in'page and checks if it opens",""
"passed","Sun Jan 09 18:32:59 GMT 2022","Sun Jan 09 18:33:02 GMT 2022","3742","","Test for basic item purchase process","","Test for basic item purchase process","Logs in with credentials and proceeds to 'Addresses' page","Logs in with credentials and proceeds to 'Addresses' page",""
"passed","Sun Jan 09 18:32:38 GMT 2022","Sun Jan 09 18:32:40 GMT 2022","1421","","Test for login process: unsuccessful login - no data","","Test for login process: unsuccessful login - no data","doesn't add any data and validates that the login was unsuccessful","doesn't add any data and validates that the login was unsuccessful",""
"passed","Sun Jan 09 18:32:11 GMT 2022","Sun Jan 09 18:32:16 GMT 2022","4531","","Test for basic item purchase process","","Test for basic item purchase process","""before all"" hook","""before all"" hook",""
