"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Feb 20 18:24:29 GMT 2022","Sun Feb 20 18:24:31 GMT 2022","2223","","Test for basic item purchase process","","Test for basic item purchase process","confirms order and checks 'Confirmation' page headline","confirms order and checks 'Confirmation' page headline",""
"passed","Sun Feb 20 18:23:58 GMT 2022","Sun Feb 20 18:24:00 GMT 2022","1520","","Test for registration process: successful registration","","Test for registration process: successful registration","creates account and check if it proceeds to registration form","creates account and check if it proceeds to registration form",""
"passed","Sun Feb 20 18:24:15 GMT 2022","Sun Feb 20 18:24:17 GMT 2022","1581","","Test for login process: unsuccessful login - incorrect email address","","Test for login process: unsuccessful login - incorrect email address","adds incorrect data (email) and validates that the login was unsuccessful","adds incorrect data (email) and validates that the login was unsuccessful",""
"passed","Sun Feb 20 18:24:26 GMT 2022","Sun Feb 20 18:24:29 GMT 2022","2991","","Test for basic item purchase process","","Test for basic item purchase process","proceeds to payment, chooses payment method and proceeds to 'Order summary' page","proceeds to payment, chooses payment method and proceeds to 'Order summary' page",""
"passed","Sun Feb 20 18:24:17 GMT 2022","Sun Feb 20 18:24:19 GMT 2022","2246","","Test for login process: unsuccessful login - incorrect password","","Test for login process: unsuccessful login - incorrect password","adds incorrect data (password) and validates that the login was unsuccessful","adds incorrect data (password) and validates that the login was unsuccessful",""
"passed","Sun Feb 20 18:24:19 GMT 2022","Sun Feb 20 18:24:20 GMT 2022","1218","","Test for basic item purchase process","","Test for basic item purchase process","adds an item to the cart and checks if it was successful","adds an item to the cart and checks if it was successful",""
"passed","Sun Feb 20 18:24:25 GMT 2022","Sun Feb 20 18:24:26 GMT 2022","940","","Test for basic item purchase process","","Test for basic item purchase process","proceeds to 'Shipping' page and checks page headline","proceeds to 'Shipping' page and checks page headline",""
"passed","Sun Feb 20 18:24:16 GMT 2022","Sun Feb 20 18:24:19 GMT 2022","3475","","Test for basic item purchase process","","Test for basic item purchase process","""before all"" hook","""before all"" hook",""
"passed","Sun Feb 20 18:24:14 GMT 2022","Sun Feb 20 18:24:15 GMT 2022","980","","Test for login process: unsuccessful login - no data","","Test for login process: unsuccessful login - no data","doesn't add any data and validates that the login was unsuccessful","doesn't add any data and validates that the login was unsuccessful",""
"passed","Sun Feb 20 18:24:20 GMT 2022","Sun Feb 20 18:24:21 GMT 2022","1042","","Test for basic item purchase process","","Test for basic item purchase process","proceeds to 'Cart summary' page and validates the chosen item in cart","proceeds to 'Cart summary' page and validates the chosen item in cart",""
"passed","Sun Feb 20 18:24:00 GMT 2022","Sun Feb 20 18:24:02 GMT 2022","2645","","Test for registration process: successful registration","","Test for registration process: successful registration","adds correct registration data and validates that the registration was successful","adds correct registration data and validates that the registration was successful",""
"passed","Sun Feb 20 18:24:13 GMT 2022","Sun Feb 20 18:24:14 GMT 2022","1334","","Test for login process: unsuccessful login - no data","","Test for login process: unsuccessful login - no data","navigates to 'Sign in'page and checks if it opens","navigates to 'Sign in'page and checks if it opens",""
"passed","Sun Feb 20 18:23:56 GMT 2022","Sun Feb 20 18:23:58 GMT 2022","1780","","Test for registration process: successful registration","","Test for registration process: successful registration","navigates to 'Sign in'page and checks if it opens","navigates to 'Sign in'page and checks if it opens",""
"passed","Sun Feb 20 18:24:19 GMT 2022","Sun Feb 20 18:24:21 GMT 2022","1943","","Test for login process: successful login","","Test for login process: successful login","logs in with correct data and validates that the process was successful","logs in with correct data and validates that the process was successful",""
"passed","Sun Feb 20 18:24:11 GMT 2022","Sun Feb 20 18:24:13 GMT 2022","1873","","Test for login process","","Test for login process","""before all"" hook","""before all"" hook",""
"passed","Sun Feb 20 18:23:53 GMT 2022","Sun Feb 20 18:23:56 GMT 2022","3000","","Test for registration process","","Test for registration process","""before all"" hook","""before all"" hook",""
"passed","Sun Feb 20 18:24:21 GMT 2022","Sun Feb 20 18:24:25 GMT 2022","3800","","Test for basic item purchase process","","Test for basic item purchase process","Logs in with credentials and proceeds to 'Addresses' page","Logs in with credentials and proceeds to 'Addresses' page",""
